ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,Russia,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
73,Luc Abalo,M,23,182,86,France,France,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,27,182,86,France,France,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,31,182,86,France,France,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
84,Stephen Anthony Abas,M,26,165,55,United States,United States of America,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
90,Tamila Rashidovna Abasova,F,21,163,60,Russia,Russia,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
93,Jol Marc Abati,M,38,190,85,France,France,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
153,Monica Cecilia Abbott,F,23,191,88,United States,United States of America,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
165,Nia Nicole Abdallah,F,20,175,56,United States,United States of America,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,Russia,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,Russia,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,Russia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,Russia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
